Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,generation_blend_share,is_blend_or_ccs,max_utilisation_rate,min_utilisation_rate,total_capital_cost,annual_fixed_costs
IDNKA-bioenergy-unspecified-ext-2030,IDNKA,PQ,bioenergy-unspecified,2.400965654,0,TRUE,2.4,10590,0,0.6,0,inf,0,1,biomass,1.6,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
THANO-bioenergy-unspecified-ext-2030,THANO,PQ,bioenergy-unspecified,277.900092,0,TRUE,277.9,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
THACE-bioenergy-unspecified-ext-2030,THACE,PQ,bioenergy-unspecified,444.0002796,0,TRUE,444,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
THASO-bioenergy-unspecified-ext-2030,THASO,PQ,bioenergy-unspecified,73.0025793,0,TRUE,73,6000,0,0.6,0,inf,0,1,biomass,151.5,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
SGPXX-bioenergy-unspecified-ext-2030,SGPXX,PQ,bioenergy-unspecified,278.0000001,0,TRUE,278,280,0,0.6,0,inf,0,1,biomass,144.07125,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
MYSPE-bioenergy-unspecified-ext-2030,MYSPE,PQ,bioenergy-unspecified,0.001520993,0,TRUE,0,2200,0,0.6,0,inf,0,1,biomass,144.07125,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
MYSSH-bioenergy-unspecified-ext-2030,MYSSH,PQ,bioenergy-unspecified,0.001582548,0,TRUE,0,800,0,0.6,0,inf,0,1,biomass,144.07125,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
MYSSK-bioenergy-unspecified-ext-2030,MYSSK,PQ,bioenergy-unspecified,0.00172846,0,TRUE,0,600,0,0.6,0,inf,0,1,biomass,144.07125,0,TRUE,2030,25,203283,0.32,FALSE,0,0,0,0,0,1,0,1,1,0,0,1,0,FALSE,0.85,0,2213562,64799.66667
IDNKA-combined-cycle-ext-2030,IDNKA,PQ,combined-cycle,501.0001677,0,TRUE,501,inf,0.3,0.9,0,inf,0,1,gas,40.18333333,0,TRUE,2030,40,63579,0.57,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
MYSPE-combined-cycle-ext-2030,MYSPE,PQ,combined-cycle,17791.26765,0,TRUE,7998,inf,0,0.9,0,inf,0,1,gas,56.33437853,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
MYSSH-combined-cycle-ext-2030,MYSSH,PQ,combined-cycle,1098.000162,0,TRUE,1098,inf,0.3,0.9,0,inf,0,1,gas,56.33437853,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
MYSSK-combined-cycle-ext-2030,MYSSK,PQ,combined-cycle,2816.450047,0,TRUE,1659,inf,0.3,0.9,0,inf,0,1,gas,56.33437853,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
THANO-combined-cycle-ext-2030,THANO,PQ,combined-cycle,966.0001401,0,TRUE,966,inf,0.4,0.9,0,inf,0,1,gas,58.61666667,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
THACE-combined-cycle-ext-2030,THACE,PQ,combined-cycle,29900.55122,0,TRUE,29900.55,inf,0.4,0.9,0,inf,0,1,gas,58.61666667,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
THASO-combined-cycle-ext-2030,THASO,PQ,combined-cycle,2690.000234,0,TRUE,2690,inf,0.4,0.9,0,inf,0,1,gas,58.61666667,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
SGPXX-combined-cycle-ext-2030,SGPXX,PQ,combined-cycle,9925.000026,0,TRUE,9925,inf,0.5,0.9,0,inf,0,1,gas,65.13157895,0,TRUE,2030,40,63579,0.56,FALSE,34.2,0,0,3,2,1,0,1,1,0.45,0.45,1,0,FALSE,0.85,0,824613.6667,28193.83333
IDNKA-coal-subcritical-ext-2030,IDNKA,PQ,coal-subcritical,2454,0,TRUE,2454,inf,0,0.9,0,inf,0,1,coal,27.95,0,TRUE,2030,30,127345,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1693812.333,41829.33333
MYSPE-coal-subcritical-ext-2030,MYSPE,PQ,coal-subcritical,1400,0,TRUE,1400,inf,0.4,0.9,0,inf,0,1,coal,47.31,0,TRUE,2030,30,127345,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1693812.333,41829.33333
MYSSK-coal-subcritical-ext-2030,MYSSK,PQ,coal-subcritical,270,0,TRUE,270,inf,0.4,0.9,0,inf,0,1,coal,16.54529412,0,TRUE,2030,30,127345,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1693812.333,41829.33333
THANO-coal-subcritical-ext-2030,THANO,PQ,coal-subcritical,2360,0,TRUE,2360,inf,0.4,0.9,0,inf,0,1,coal,47.175,0,TRUE,2030,30,127345,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1693812.333,41829.33333
THACE-coal-subcritical-ext-2030,THACE,PQ,coal-subcritical,2291,0,TRUE,2291,inf,0.4,0.9,0,inf,0,1,coal,47.175,0,TRUE,2030,30,127345,0.35,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1693812.333,41829.33333
IDNKA-coal-supercritical-ext-2030,IDNKA,PQ,coal-supercritical,0,0,TRUE,0,inf,0,0.9,0,inf,0,1,coal,27.85,0,TRUE,2030,30,122840,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1517146,43416.83333
MYSPE-coal-supercritical-ext-2030,MYSPE,PQ,coal-supercritical,0,0,TRUE,0,inf,0.4,0.9,0,inf,0,1,coal,44.75857143,0,TRUE,2030,30,122840,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1517146,43416.83333
MYSSH-coal-supercritical-ext-2030,MYSSH,PQ,coal-supercritical,0,0,TRUE,0,inf,0.4,0.9,0,inf,0,1,coal,44.75857143,0,TRUE,2030,30,122840,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1517146,43416.83333
MYSSK-coal-supercritical-ext-2030,MYSSK,PQ,coal-supercritical,0,0,TRUE,0,inf,0.4,0.9,0,inf,0,1,coal,14.87285714,0,TRUE,2030,30,122840,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1517146,43416.83333
THANO-coal-supercritical-ext-2030,THANO,PQ,coal-supercritical,0,0,TRUE,0,inf,0.4,0.9,0,inf,0,1,coal,47.075,0,TRUE,2030,30,122840,0.38,FALSE,35.64,0,0,5,6,1,0,1,1,0.38,0.38,1,0,FALSE,0.85,0,1517146,43416.83333
