Link,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,min_utilisation_rate,max_utilisation_rate
IDNKA-MYSSH-ext-2030,IDNKA,MYSSH,hvdc,interconnector-IDNKA-MYSSH,0.97,True,2030,99.0,0.0,0.0,False,0.0,inf,0.0,0.0,1.0,71105.32296009126,0.0,0.0,0.0,707.4893264978992,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,1.0
MYSSH-IDNKA-ext-2030,MYSSH,IDNKA,hvdc,interconnector-IDNKA-MYSSH,0.97,True,2030,99.0,0.0,0.0,False,0.0,inf,0.0,0.0,1.0,71105.32296009126,0.0,0.0,0.0,707.4893264978992,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,,
IDNKA-MYSSK-ext-2030,IDNKA,MYSSK,hvdc,interconnector-IDNKA-MYSSK,0.97,True,2030,99.0,230.0,0.0,False,230.0,inf,0.0,0.0,1.0,73222.95307960796,0.0,0.0,0.0,320.9299277688559,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,230.0,0.0,1.0
MYSSK-IDNKA-ext-2030,MYSSK,IDNKA,hvdc,interconnector-IDNKA-MYSSK,0.97,True,2030,99.0,230.0,0.0,False,230.0,inf,0.0,0.0,1.0,73222.95307960796,0.0,0.0,0.0,320.9299277688559,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,230.0,,
MYSPE-MYSSK-ext-2030,MYSPE,MYSSK,subsea,interconnector-MYSPE-MYSSK,0.97,True,2030,99.0,0.0,0.0,False,0.0,inf,0.0,0.0,1.0,70293.50591516576,0.0,0.0,0.0,1248.7350332079432,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,0.0,1.0
MYSSK-MYSPE-ext-2030,MYSSK,MYSPE,subsea,interconnector-MYSPE-MYSSK,0.97,True,2030,99.0,0.0,0.0,False,0.0,inf,0.0,0.0,1.0,70293.50591516576,0.0,0.0,0.0,1248.7350332079432,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0,,
MYSSH-MYSSK-ext-2030,MYSSH,MYSSK,hvdc,interconnector-MYSSH-MYSSK,0.97,True,2030,99.0,50.0,0.0,False,50.0,inf,0.0,0.0,1.0,73725.44158254412,0.0,0.0,0.0,518.0824185957572,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,50.0,0.0,1.0
MYSSK-MYSSH-ext-2030,MYSSK,MYSSH,hvdc,interconnector-MYSSH-MYSSK,0.97,True,2030,99.0,50.0,0.0,False,50.0,inf,0.0,0.0,1.0,73725.44158254412,0.0,0.0,0.0,518.0824185957572,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,50.0,,
MYSPE-SGPXX-ext-2030,MYSPE,SGPXX,hvac,interconnector-MYSPE-SGP,0.97,True,2030,99.0,1000.0,0.0,False,1000.0,inf,0.0,0.0,1.0,50984.35025601218,0.0,0.0,0.0,349.5791815375156,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,1000.0,0.0,0.5
THANO-THACE-ext-2030,THANO,THACE,hvdc,interconnector-THANO-THACE,0.97,True,2030,99.0,4400.0,0.0,True,4400.0,inf,0.0,0.0,1.0,52333.86730248102,0.0,0.0,0.0,355.88933855670604,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,4400.000261964416,0.0,1.0
THACE-THANO-ext-2030,THACE,THANO,hvdc,interconnector-THANO-THACE,0.97,True,2030,99.0,4400.0,0.0,True,4400.0,inf,0.0,0.0,1.0,52333.86730248102,0.0,0.0,0.0,355.88933855670604,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,4400.000472558184,,
THACE-THASO-ext-2030,THACE,THASO,hvdc,interconnector-THACE-THASO,0.97,True,2030,99.0,4400.0,0.0,True,4400.0,inf,0.0,0.0,1.0,57070.45490429525,0.0,0.0,0.0,643.4369245913875,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,4400.000980869825,0.0,1.0
THASO-THACE-ext-2030,THASO,THACE,hvdc,interconnector-THACE-THASO,0.97,True,2030,99.0,4400.0,0.0,True,4400.0,inf,0.0,0.0,1.0,57070.45490429525,0.0,0.0,0.0,643.4369245913875,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,4400.0001262159185,,
THASO-MYSPE-ext-2030,THASO,MYSPE,hvdc,interconnector-THASO-MYSPE,0.97,True,2030,99.0,380.0,0.0,True,380.0,inf,0.0,0.0,1.0,61091.444937291984,0.0,0.0,0.0,524.4406350939361,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,3776.394959585229,0.0,1.0
MYSPE-THASO-ext-2030,MYSPE,THASO,hvdc,interconnector-THASO-MYSPE,0.97,True,2030,99.0,380.0,0.0,True,380.0,inf,0.0,0.0,1.0,61091.444937291984,0.0,0.0,0.0,524.4406350939361,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,380.0006152836969,,
