StorageUnit,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,annual_fixed_costs,total_capital_cost
IDNKA-lithium-ion-ext-2030,IDNKA,PQ,,0.019126034,0,TRUE,0,inf,-1,1,0,0,1,battery,0,0,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
MYSPE-lithium-ion-ext-2030,MYSPE,PQ,,0.044008661,0,TRUE,0,inf,-1,1,0,0,1,battery,0,2.04,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
MYSSK-lithium-ion-ext-2030,MYSSK,PQ,,2302.771242,0,TRUE,0,inf,-1,1,0,0,1,battery,0,2.04,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
MYSSH-lithium-ion-ext-2030,MYSSH,PQ,,166.8838811,0,TRUE,0,inf,-1,1,0,0,1,battery,0,2.04,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
SGPXX-lithium-ion-ext-2030,SGPXX,PQ,,0.012722361,0,TRUE,0,inf,-1,1,0,0,1,battery,0,2.04,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
THANO-lithium-ion-ext-2030,THANO,PQ,,0.027040522,0,TRUE,0,inf,-1,1,0,0,1,battery,0,0,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
THASO-lithium-ion-ext-2030,THASO,PQ,,0.166639926,0,TRUE,0,inf,-1,1,0,0,1,battery,0,0,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
THACE-lithium-ion-ext-2030,THACE,PQ,,0.073037262,0,TRUE,0,inf,-1,1,0,0,1,battery,0,0,0,0,49924.52839,TRUE,2030,15,0,FALSE,,TRUE,TRUE,6,0.95,0.95,0.004,0,8284.884615,341911.4864
THANO-hydro-pumped-storage-ext-2030,THANO,PQ,,1171,0,TRUE,1171,inf,-1,1,0,0,1,hydro-storage,0,1.7,0,0,126794.9837,TRUE,2030,60,0,FALSE,,TRUE,TRUE,10,0.8,0.8,0.01,0,40504.16667,2349389.667
THACE-hydro-pumped-storage-ext-2030,THACE,PQ,,360,0,TRUE,360,inf,-1,1,0,0,1,hydro-storage,0,1.7,0,0,126794.9837,TRUE,2030,60,0,FALSE,,TRUE,TRUE,10,0.8,0.8,0.01,0,40504.16667,2349389.667
MYSPE-hydro-pumped-storage-ext-2030,MYSPE,PQ,,0,0,TRUE,0,inf,-1,1,0,0,1,hydro-storage,0,1.06,0,0,126794.9837,TRUE,2030,60,0,FALSE,,TRUE,TRUE,10,0.8,0.8,0.01,0,40504.16667,2349389.667
MYSSK-hydro-pumped-storage-ext-2030,MYSSK,PQ,,0,0,TRUE,0,inf,-1,1,0,0,1,hydro-storage,0,1.06,0,0,126794.9837,TRUE,2030,60,0,FALSE,,TRUE,TRUE,10,0.8,0.8,0.01,0,40504.16667,2349389.667
MYSPE-redox-flow-ext-2030,MYSPE,PQ,,0.015299498,0,TRUE,0,inf,-1,1,0,0,1,long-duration-storage,0,0.34,0,0,57105.426,TRUE,2030,12,0,FALSE,,TRUE,TRUE,12,1,0.65,0.004,0,12177.5,385051
MYSSK-redox-flow-ext-2030,MYSSK,PQ,,0.038802308,0,TRUE,0,inf,-1,1,0,0,1,long-duration-storage,0,0.34,0,0,57105.426,TRUE,2030,12,0,FALSE,,TRUE,TRUE,12,1,0.65,0.004,0,12177.5,385051
MYSSH-redox-flow-ext-2030,MYSSH,PQ,,0.069652609,0,TRUE,0,inf,-1,1,0,0,1,long-duration-storage,0,0.34,0,0,57105.426,TRUE,2030,12,0,FALSE,,TRUE,TRUE,12,1,0.65,0.004,0,12177.5,385051
SGPXX-redox-flow-ext-2030,SGPXX,PQ,,0.01012801,0,TRUE,0,inf,-1,1,0,0,1,long-duration-storage,0,0.34,0,0,57105.426,TRUE,2030,12,0,FALSE,,TRUE,TRUE,12,1,0.65,0.004,0,12177.5,385051
