timestep,IDNKA-hydro-unspecified-ext-2030,IDNKA-photovoltaic-unspecified-ext-2030,IDNKA-wind-offshore-unspecified-ext-2030,IDNKA-wind-onshore-ext-2030,MYSPE-hydro-unspecified-ext-2030,MYSPE-photovoltaic-unspecified-ext-2030,MYSPE-wind-offshore-unspecified-ext-2030,MYSPE-wind-onshore-ext-2030,MYSSH-hydro-unspecified-ext-2030,MYSSH-photovoltaic-unspecified-ext-2030,MYSSH-wind-offshore-unspecified-ext-2030,MYSSH-wind-onshore-ext-2030,MYSSK-hydro-unspecified-ext-2030,MYSSK-photovoltaic-unspecified-ext-2030,MYSSK-wind-offshore-unspecified-ext-2030,MYSSK-wind-onshore-ext-2030,SGPXX-hydro-unspecified-ext-2030,SGPXX-photovoltaic-unspecified-ext-2030,SGPXX-solar-batam-ext-2030,SGPXX-wind-offshore-unspecified-ext-2030,SGPXX-wind-onshore-ext-2030,THACE-hydro-unspecified-ext-2030,THACE-photovoltaic-unspecified-ext-2030,THACE-wind-offshore-unspecified-ext-2030,THACE-wind-onshore-ext-2030,THANO-hydro-unspecified-ext-2030,THANO-photovoltaic-unspecified-ext-2030,THANO-wind-offshore-unspecified-ext-2030,THANO-wind-onshore-ext-2030,THASO-hydro-unspecified-ext-2030,THASO-photovoltaic-unspecified-ext-2030,THASO-wind-offshore-unspecified-ext-2030,THASO-wind-onshore-ext-2030
01/01/2030 00:00,0.866,0.4,0.169,0.11,0.285,0.11,0.416,0.21,0.995,0.2,0.068,0.03,0.995,0.235,0.006,0,0.616,0.113,0.97,0.464,0.263,0.042,0.1,0.396,0.2,0.043,0.1,0,0.44,0.081,0.1,0.63,0.32
01/01/2030 01:00,0.866,0.5,0.415,0.28,0.256,0.331,0.508,0.25,0.995,0.4,0.19,0.1,0.995,0.235,0.002,0,0.616,0.226,0.97,0.436,0.251,0.042,0.3,0.53,0.27,0.043,0.3,0,0.63,0.081,0.3,0.708,0.35
01/01/2030 02:00,0.866,0.6,0.474,0.32,0.245,0.477,0.632,0.32,0.995,0.4,0.328,0.16,0.995,0.352,0.008,0,0.616,0.34,0.97,0.458,0.263,0.042,0.5,0.428,0.21,0.043,0.5,0,0.68,0.081,0.5,1,0.56
01/01/2030 03:00,0.866,0.6,0.381,0.25,0.239,0.555,0.794,0.4,0.995,0.5,0.428,0.21,0.995,0.47,0.004,0,0.616,0.34,0.97,0.412,0.24,0.042,0.6,0.274,0.14,0.043,0.6,0,0.66,0.081,0.6,1,0.64
01/01/2030 04:00,0.866,0.6,0.254,0.17,0.24,0.602,0.892,0.45,0.995,0.4,0.47,0.24,0.995,0.47,0,0,0.616,0.34,0.97,0.31,0.183,0.042,0.7,0.184,0.09,0.043,0.7,0,0.62,0.081,0.6,1,0.64
01/01/2030 05:00,0.866,0.6,0.248,0.17,0.242,0.651,0.844,0.42,0.995,0.4,0.416,0.21,0.995,0.47,0,0,0.616,0.34,0.97,0.21,0.126,0.042,0.7,0.16,0.08,0.043,0.7,0,0.6,0.081,0.6,1,0.62
01/01/2030 06:00,0.866,0.5,0.251,0.17,0.242,0.649,0.628,0.31,0.995,0.3,0.308,0.15,0.995,0.47,0,0,0.616,0.34,0.97,0.124,0.069,0.042,0.6,0.174,0.09,0.043,0.6,0,0.59,0.081,0.5,1,0.59
01/01/2030 07:00,0.866,0.4,0.217,0.14,0.299,0.561,0.354,0.18,0.995,0.2,0.178,0.09,0.995,0.352,0.002,0,0.616,0.226,0.97,0.062,0.034,0.042,0.6,0.212,0.11,0.043,0.5,0,0.57,0.081,0.4,1,0.55
01/01/2030 08:00,0.866,0.2,0.116,0.08,0.33,0.442,0.138,0.07,0.995,0.1,0.09,0.05,0.995,0.117,0.006,0,0.616,0.113,0.97,0.04,0.023,0.042,0.4,0.28,0.14,0.043,0.4,0,0.56,0.081,0.3,1,0.51
01/01/2030 09:00,0.866,0.1,0.079,0.05,0.357,0.285,0.166,0.08,0.995,0,0.166,0.08,0.995,0,0.032,0.02,0.616,0.113,0.97,0.044,0.023,0.042,0.2,0.364,0.18,0.043,0.2,0,0.54,0.081,0.2,0.91,0.46
01/01/2030 10:00,0.866,0,0.243,0.16,0.318,0.061,0.264,0.13,0.995,0,0.344,0.17,0.995,0,0.284,0.14,0.616,0,0.97,0.094,0.057,0.042,0,0.476,0.24,0.043,0,0,0.52,0.081,0.1,0.812,0.41
01/01/2030 11:00,0.866,0,0.22,0.15,0.575,0.003,0.386,0.19,0.995,0,0.314,0.16,0.995,0,0.54,0.27,0.616,0,0.97,0.206,0.114,0.042,0,0.588,0.29,0.043,0,0,0.51,0.081,0,0.828,0.41
