Link,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,min_utilisation_rate,max_utilisation_rate
IDNKA-MYSSH-ext-2030,IDNKA,MYSSH,hvdc,interconnector-IDNKA-MYSSH,0.97,TRUE,2030,99,0,0,FALSE,0,inf,0,0,1,71105.32296,0,0,0,707.4893265,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
MYSSH-IDNKA-ext-2030,MYSSH,IDNKA,hvdc,interconnector-IDNKA-MYSSH,0.97,TRUE,2030,99,0,0,FALSE,0,inf,0,0,1,71105.32296,0,0,0,707.4893265,1,FALSE,0,0,0,0,1,0,,,1,1,,
IDNKA-MYSSK-ext-2030,IDNKA,MYSSK,hvdc,interconnector-IDNKA-MYSSK,0.97,TRUE,2030,99,230,0,FALSE,230,inf,0,0,1,73222.95308,0,0,0,320.9299278,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
MYSSK-IDNKA-ext-2030,MYSSK,IDNKA,hvdc,interconnector-IDNKA-MYSSK,0.97,TRUE,2030,99,230,0,FALSE,230,inf,0,0,1,73222.95308,0,0,0,320.9299278,1,FALSE,0,0,0,0,1,0,,,1,1,,
MYSPE-MYSSK-ext-2030,MYSPE,MYSSK,subsea,interconnector-MYSPE-MYSSK,0.97,TRUE,2030,99,0,0,FALSE,0,inf,0,0,1,70293.50592,0,0,0,1248.735033,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
MYSSK-MYSPE-ext-2030,MYSSK,MYSPE,subsea,interconnector-MYSPE-MYSSK,0.97,TRUE,2030,99,0,0,FALSE,0,inf,0,0,1,70293.50592,0,0,0,1248.735033,1,FALSE,0,0,0,0,1,0,,,1,1,,
MYSSH-MYSSK-ext-2030,MYSSH,MYSSK,hvdc,interconnector-MYSSH-MYSSK,0.97,TRUE,2030,99,50,0,FALSE,50,inf,0,0,1,73725.44158,0,0,0,518.0824186,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
MYSSK-MYSSH-ext-2030,MYSSK,MYSSH,hvdc,interconnector-MYSSH-MYSSK,0.97,TRUE,2030,99,50,0,FALSE,50,inf,0,0,1,73725.44158,0,0,0,518.0824186,1,FALSE,0,0,0,0,1,0,,,1,1,,
MYSPE-SGPXX-ext-2030,MYSPE,SGPXX,hvac,interconnector-MYSPE-SGP,0.97,TRUE,2030,99,1000,0,FALSE,1000,inf,0,0,1,50984.35026,0,0,0,349.5791815,1,FALSE,0,0,0,0,1,0,,,1,1,0,0.5
THANO-THACE-ext-2030,THANO,THACE,hvdc,interconnector-THANO-THACE,0.97,TRUE,2030,99,4400,0,FALSE,4400,inf,0,0,1,52333.8673,0,0,0,355.8893386,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
THACE-THANO-ext-2030,THACE,THANO,hvdc,interconnector-THANO-THACE,0.97,TRUE,2030,99,4400,0,FALSE,4400,inf,0,0,1,52333.8673,0,0,0,355.8893386,1,FALSE,0,0,0,0,1,0,,,1,1,,
THACE-THASO-ext-2030,THACE,THASO,hvdc,interconnector-THACE-THASO,0.97,TRUE,2030,99,4400,0,FALSE,4400,inf,0,0,1,57070.4549,0,0,0,643.4369246,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
THASO-THACE-ext-2030,THASO,THACE,hvdc,interconnector-THACE-THASO,0.97,TRUE,2030,99,4400,0,FALSE,4400,inf,0,0,1,57070.4549,0,0,0,643.4369246,1,FALSE,0,0,0,0,1,0,,,1,1,,
THASO-MYSPE-ext-2030,THASO,MYSPE,hvdc,interconnector-THASO-MYSPE,0.97,TRUE,2030,99,380,0,FALSE,380,inf,0,0,1,61091.44494,0,0,0,524.4406351,1,FALSE,0,0,0,0,1,0,,,1,1,0,1
MYSPE-THASO-ext-2030,MYSPE,THASO,hvdc,interconnector-THASO-MYSPE,0.97,TRUE,2030,99,380,0,FALSE,380,inf,0,0,1,61091.44494,0,0,0,524.4406351,1,FALSE,0,0,0,0,1,0,,,1,1,,
