snapshot,IDNKA,MYSPE,MYSSK,MYSSH,SGPXX,THANO,THASO,THACE
01/01/2030 00:00,2363.104,17021.41322,5827.999,821.031,8295.588,6172.54,3355.44,18228.98
01/01/2030 01:00,2250.433,17619.26619,6938.326,977.45,8468.171,6733.68,3660.48,19886.16
01/01/2030 02:00,2254.4,18333.36893,7660.498,1079.188,8585.852,6733.68,3660.48,19886.16
01/01/2030 03:00,2346.177,18531.07593,7316.227,1030.688,8559.382,6733.68,3660.48,19886.16
01/01/2030 04:00,2390.523,18409.29146,6047.569,851.963,8431.231,6733.68,3660.48,19886.16
01/01/2030 05:00,2284.728,18663.12706,8299.086,1169.15,8364.302,6733.68,3660.48,19886.16
01/01/2030 06:00,2352.437,19189.02895,4565.486,643.172,8450.443,6733.68,3660.48,19886.16
01/01/2030 07:00,2360.989,19698.30563,4483.722,631.653,8491.004,6733.68,3660.48,19886.16
01/01/2030 08:00,2376.858,19944.24055,4497.455,633.588,8605.097,6733.68,3660.48,19886.16
01/01/2030 09:00,2415.914,19907.08203,4124.709,581.076,8680.983,6733.68,3660.48,19886.16
01/01/2030 10:00,2305.182,20051.00529,4567.757,643.492,8854.766,6733.68,3660.48,19886.16
01/01/2030 11:00,2333.394,22249.48435,4536.541,639.094,9035.019,7294.82,3965.52,21543.34
01/01/2030 12:00,2360.195,22578.39749,6093.641,858.454,9065.43,7855.96,4270.56,23200.52
01/01/2030 13:00,2252.549,22289.83272,7142.484,1006.211,8947.397,7855.96,4270.56,23200.52
01/01/2030 14:00,2264.363,21911.6988,7532.756,1061.192,8662.832,7294.82,3965.52,21543.34
01/01/2030 15:00,2378.092,21479.27414,6655.768,937.644,8424.648,6172.54,3355.44,18228.98
01/01/2030 16:00,2351.82,20576.90719,7258.823,1022.601,8258.779,5611.4,3050.4,16571.8
01/01/2030 17:00,2347.941,19578.10552,4836.132,681.3,8022.087,5611.4,3050.4,16571.8
01/01/2030 18:00,2381.442,18818.92246,4245.243,598.057,7786.117,5050.26,2745.36,14914.62
01/01/2030 19:00,2284.375,18190.22728,4649.099,654.951,7649.295,5050.26,2745.36,14914.62
01/01/2030 20:00,2381.442,17886.55828,4485.623,631.921,7645.805,5050.26,2745.36,14914.62
01/01/2030 21:00,2423.672,17719.69349,3730.044,525.477,7749.603,5611.4,3050.4,16571.8
01/01/2030 22:00,2320.787,18052.64146,4614.344,650.055,7924.185,5611.4,3050.4,16571.8
01/01/2030 23:00,2339.036,17566.28519,4421.659,622.91,8077.967,6172.54,3355.44,18228.98
02/01/2030 00:00,2318.054,18055.78906,7349.602,1035.39,8344.046,6733.68,3660.48,19886.16
02/01/2030 01:00,2314.174,18993.68793,7366.899,1037.826,8528.101,6733.68,3660.48,19886.16
02/01/2030 02:00,2325.9,19853.29829,7573.26,1066.898,8645.884,6733.68,3660.48,19886.16
02/01/2030 03:00,2379.591,20357.06139,7445.206,1048.858,8645.67,6733.68,3660.48,19886.16
02/01/2030 04:00,2281.554,20119.02715,7286.127,1026.447,8490.523,6733.68,3660.48,19886.16
02/01/2030 05:00,2356.316,20317.51577,4670.121,657.912,8501.654,6733.68,3660.48,19886.16
02/01/2030 06:00,2386.291,21234.01522,3934.243,554.244,8591.568,6733.68,3660.48,19886.16
02/01/2030 07:00,2299.98,21669.81984,4631.14,652.421,8736.585,6733.68,3660.48,19886.16
02/01/2030 08:00,2410.183,21946.55472,4126.981,581.396,8913.766,6733.68,3660.48,19886.16
02/01/2030 09:00,2387.966,21515.6088,4533.425,638.655,9020.901,6733.68,3660.48,19886.16
02/01/2030 10:00,2374.125,21286.19347,4583.181,645.664,9221.123,6733.68,3660.48,19886.16
02/01/2030 11:00,2377.828,23503.66373,4012.838,565.316,9381.651,7294.82,3965.52,21543.34
02/01/2030 12:00,2244.702,23982.98544,7579.068,1067.716,9344.561,7855.96,4270.56,23200.52
02/01/2030 13:00,2325.107,23851.58918,6953.488,979.586,9182.321,7855.96,4270.56,23200.52
02/01/2030 14:00,2331.807,23254.60234,7005.157,986.865,8947.348,7294.82,3965.52,21543.34
02/01/2030 15:00,2337.361,22550.724,7816.621,1101.182,8596.764,6172.54,3355.44,18228.98
02/01/2030 16:00,2294.073,21363.72149,6730.561,948.181,8256.45,5611.4,3050.4,16571.8
02/01/2030 17:00,2383.206,20493.8656,4320.722,608.69,7998.038,5050.26,2745.36,14914.62
02/01/2030 18:00,2349.175,19723.61314,4678.625,659.11,7809.553,5050.26,2745.36,14914.62
02/01/2030 19:00,2360.019,19052.22475,4535.696,638.975,7713.924,5050.26,2745.36,14914.62
02/01/2030 20:00,2414.944,18720.86113,3824.749,538.819,7710.476,5050.26,2745.36,14914.62
02/01/2030 21:00,2311.706,18897.21096,4567.704,643.484,7996.736,5050.26,2745.36,14914.62
02/01/2030 22:00,2385.762,19619.2355,4430.638,624.175,8530.431,5611.4,3050.4,16571.8
02/01/2030 23:00,2369.1,19736.2669,3699.62,521.191,9105.297,5611.4,3050.4,16571.8
03/01/2030 00:00,2257.31,21953.73715,7605.47,1071.435,9709.095,6172.54,3355.44,18228.98
03/01/2030 01:00,2358.344,23902.2887,6319.261,890.238,9957.119,6172.54,3355.44,18228.98
03/01/2030 02:00,2360.636,24833.89238,6325.03,891.051,10033.881,6733.68,3660.48,19886.16
03/01/2030 03:00,2268.859,25336.87387,8007.91,1128.13,9973.791,6733.68,3660.48,19886.16
03/01/2030 04:00,2356.757,25000.7783,7691.506,1083.556,9878.114,6733.68,3660.48,19886.16
03/01/2030 05:00,2386.556,25306.03166,3979.668,560.643,10028.913,6172.54,3355.44,18228.98
03/01/2030 06:00,2271.416,26652.73766,4746.973,668.739,10070.54,6172.54,3355.44,18228.98
03/01/2030 07:00,2363.898,27145.368,4541.031,639.727,10181.032,6172.54,3355.44,18228.98
03/01/2030 08:00,2378.974,27206.20742,4630.507,652.332,10232.509,6172.54,3355.44,18228.98
03/01/2030 09:00,2327.311,26155.24862,4564.06,642.971,10107.206,6172.54,3355.44,18228.98
03/01/2030 10:00,2406.833,24707.35483,4126.822,581.374,9957.031,6733.68,3660.48,19886.16
03/01/2030 11:00,2335.686,25956.04176,4539.393,639.496,9936.43,7294.82,3965.52,21543.34
03/01/2030 12:00,2322.726,26122.92768,7574.718,1067.103,9846.638,7855.96,4270.56,23200.52
03/01/2030 13:00,2356.757,25672.96944,6685.659,941.855,9556.673,7294.82,3965.52,21543.34
03/01/2030 14:00,2365.661,24900.22426,7001.965,986.415,9098.865,6733.68,3660.48,19886.16
03/01/2030 15:00,2282.436,24025.65754,7808.175,1099.992,8651.517,6172.54,3355.44,18228.98
03/01/2030 16:00,2356.669,22786.47677,7280.927,1025.715,8166.318,5050.26,2745.36,14914.62
03/01/2030 17:00,2348.117,21801.00485,3685.253,519.167,8122.64,5050.26,2745.36,14914.62
03/01/2030 18:00,2284.904,21061.65797,4756.269,670.049,7970.302,4489.12,2440.32,13257.44
03/01/2030 19:00,2391.316,20451.15125,4152.862,585.043,7903.625,4489.12,2440.32,13257.44
